	Alveolar-Type1	Alveolar-Type2	CD4+T	CD8-CytT	Ciliated	Fibroblast	Mast	Monocyte	NK
IL7R	2.2035270965177056	6.619559884502207	14.31770598468926	12.8976396985031	2.78907888016622	7.521191166626082	6.9136063869609	9.443739660368228	11.433990809666831
ILF2	6.019177196589449	10.188687370873224	10.849150476037478	10.671856638321122	6.705169544933961	10.82589888996781	9.768105900919586	9.658440653083089	11.876118308620702
IMP3	6.3079426669135215	10.037575231056936	10.237507672648928	10.507362857027013	6.412453495056367	10.207846498073053	9.168159375183604	9.319147101175075	11.944227860823286
IMPDH2	6.745635739586188	10.797962839339139	10.356003795794837	9.74061881671299	6.269758333719504	11.400044096016511	8.388194273790337	8.856856560806051	10.628676097737046
INMT	0.0	4.061129172250755	4.860530172713006	5.816371790840404	3.547282623784384	11.943018847284819	5.026526806498912	5.600728017129916	5.6066760844936585
INSIG1	6.499475138559907	10.77370413791497	10.692470265989353	10.344529827500557	6.163083656231227	10.005097335892277	9.074604442708813	12.914359529697622	11.233613805314448
INTS6	5.129920959285627	8.54193189726142	11.771434872199242	10.940767992872287	5.963955866685983	9.559878839334251	10.186925016810422	9.675464174933671	12.132459564953583
IQCG	3.937238917116777	6.716057091773434	7.387858278669831	7.231450745397073	8.824074242133065	6.153504608187388	4.944715105997842	6.787901958812376	7.412140128543327
IQGAP1	7.56451970244497	10.807004510710287	11.197102526438494	10.852761305112319	7.171857418966761	9.716094588592616	9.574790855602963	11.726405680467012	12.204101397188593
IRAK3	1.5741994287520233	6.338374493676237	4.484055228648969	4.322680624725791	3.5235294636897634	8.330408260869692	6.292501647822705	11.251221186975894	6.440339819390635
IRF1	6.021935094995698	8.172551720091347	12.344395228501675	12.172829382005537	7.127653706756468	10.289145244970666	9.58534960952083	10.608210551540534	13.484485714247773
IRF2BP2	6.713554094983895	10.499852961053977	10.026505460590318	9.309323549678682	6.5673982927893935	9.799589833103134	9.438936114869355	11.256684593221177	10.35583217152279
IRF8	2.990073131560392	4.872881690207885	6.875363065908488	7.320955300362362	1.1147914413820423	6.372967938226499	5.859679713271803	10.515713634482129	11.943094362463215
IRS2	4.590383628672057	7.120530068029646	9.440025992954904	7.565624287056124	5.167320992731062	8.525909403531134	9.553504888501271	11.7659385831207	10.05084951414801
IRX3	5.720875806667317	10.951133588389407	3.246746146030816	3.7702696158123867	7.495089676011697	5.943901874881029	5.141017858343483	2.7744523893186557	5.136460061578135
ISCU	7.176865277169127	11.1229216699018	11.697163971421805	11.373127245566934	8.24675565468875	11.461673839903805	9.738985136506274	10.547615819908557	11.897067869776137
ISG15	7.32282255897897	8.889654993584426	11.533868452024949	11.449751293574456	7.367754580029146	9.872900384734427	9.737197815564025	12.248903019643764	12.622594330058524
ISG20	5.797572302943097	9.29796195370663	12.569237110101124	12.131061137269192	6.695804975793214	6.757437481670235	7.012150173146184	9.778644237111395	12.71320477031461
ISLR	0.20575775763645457	2.5773654991315627	4.479295760441498	3.6518235633654283	0.9917754569408597	11.17335233722455	4.306617619307552	5.590229831077449	5.416704651782959
ITGAX	3.7668105428829275	4.640552099938692	6.10859144645345	7.049603107092558	0.9558134188098177	5.254793639326214	8.018862358795676	11.50097932231991	10.1354363665095
ITGB1	7.8046402317048065	10.151773089234194	12.182213694823087	11.519652222642028	6.594446285360691	12.284920662152077	8.512950897261927	10.807437600927683	12.20352603451235
ITGB2	2.747977312297163	7.568751144311346	12.413567374754034	12.928905830076847	5.185801305483584	7.401382157782894	9.185458252406697	12.874403481739698	14.55684022594858
ITGB6	7.902539364332936	10.75347876761764	5.123733355688333	5.427108082156862	5.004912389413854	4.798811540484554	5.236636000601357	5.190909531784455	5.141868035280662
ITGB7	0.0	4.653995515921018	10.715094139486185	10.987165436388562	3.483273931446589	4.45052241096232	7.351774863042156	7.786890686085394	12.374786638817747
ITK	0.5081326389525872	4.739213868602932	11.390410818476974	10.602073592614081	0.8346735685362873	4.5481875225094575	7.715778631105453	6.414530917315331	11.143523012146908
ITM2A	1.5702394660034518	5.322010109769186	11.981586617597184	11.263053190803175	4.748504384397863	10.032071494033334	9.67060084148419	6.770934073579153	11.185613048161631
ITM2B	9.016668885417452	11.953766491945936	13.598914369302387	13.172474232955706	9.440725306098326	13.89315930233569	12.0078509381754	13.291119461437289	13.91369996965501
ITM2C	3.2209770101797663	7.3085624712787425	9.530222823202669	9.634013010059608	4.871741798922149	9.814977554839913	10.472386429949454	6.858917510095469	9.18304875644924
IVNS1ABP	5.3244272016268095	8.387456377072512	10.58852904060098	9.839645726881432	5.7302454023088165	8.239138798332144	8.183220996822138	11.274729494360786	11.90625882737782
JAK1	5.42499519499672	10.383267530354074	11.289108463472928	11.266005259710324	6.280399611126526	10.272579283934636	8.520803302281001	10.863989231206661	13.024254393983377
JAML	1.1323967330776699	5.598797996558472	11.142410182922134	10.160824789357974	2.918608728190681	6.749792883775776	5.433143739865889	11.655343330569861	8.273604843207716
JMJD1C	6.195616306747848	9.074566312691156	11.058343556693584	10.20635775676274	6.103136081377135	10.03601600668677	8.896309029941548	11.36790634144875	10.824010178872376
JMJD6	4.81382463812548	7.956412402056804	10.907509394083126	11.058821980819538	4.837178713644974	8.370572335302555	9.549651652840364	10.300452092555782	11.47953443937303
JPT1	6.530012824699553	9.341922965863919	11.561303794672524	11.129239799852474	6.790084926262875	9.851557293878633	8.895959041229263	11.111120212705032	11.841915190514964
JTB	7.666204186695818	11.749813167895729	11.592941903142805	11.610858379662508	8.208305674249113	11.548000841092666	10.300398780745352	11.598587222067652	12.507120201001484
JUN	9.185551342456918	11.657804774692861	15.547462361052853	14.487020813137482	9.621989459995612	14.104129981698886	14.63507795808874	13.273443914003238	15.529352859558573
JUNB	8.115432826120347	11.931777114862268	15.625742627299596	14.402801837218314	8.824017580114916	14.40326252890905	13.697823112206583	14.504382476565603	15.19542334680564
JUND	8.977854883188112	11.186853539649789	12.50107242849421	11.675012711092922	8.282087335871761	10.8521386257659	12.549794051690958	13.495615098941299	12.574683941277232
KCNQ1OT1	6.1857145390762	9.59074141563929	10.855838682176264	10.20180022215034	6.794856795744261	10.441349536214672	10.355060545831915	10.465667410332266	11.548140126950324
KDELR1	7.0538631236104425	11.083978200804978	10.086036281421514	9.93232077212996	6.763842963961037	11.396160131420372	8.533823279319707	10.19821861264996	10.844905954858227
KDELR2	7.324137962854282	11.636333333484888	10.677827091116376	10.459286624598388	7.075419568562628	12.611677413836157	9.484211718536598	10.791519528836384	11.764096804734866
KDM6B	3.3966275216437536	7.601543652822924	10.952035449658439	9.889665487540702	5.236047763477658	8.660464112755978	11.269939515169938	12.54224394878584	11.268219156047627
KHDRBS1	6.458023976590119	9.910532032166918	11.299250210875266	10.950129513651575	7.244492946386449	10.835018080060138	9.906817106458181	10.790551567650558	11.837235908342926
KIF21A	4.984385873178911	7.383286368718951	8.400392764754084	8.814968841751934	8.785357386109144	6.406351117405423	5.653653372560415	4.485374077668476	9.210628829310403
KIF5B	6.564457831668676	10.33261239220438	11.133081959675442	10.733883644111364	7.594386789646395	10.60934525728696	9.238777307813965	10.469363323765785	11.503916201676988
KIF9	4.197672935325429	8.204857062962706	5.916852484416028	5.54832829519367	9.634937983604017	7.252952523847124	6.390682644777087	6.743351505771892	7.210316384967698
KIT	2.511577008986104	5.0056920455339045	5.665387739565939	5.501392646953496	2.514755694666753	4.18871337446096	12.436951554982608	4.9833144217627785	6.516293980144766
KLF2	3.8145817994306785	7.530129828194076	11.55263898502323	12.042046909364151	5.651393131663503	9.227168024768526	10.94965901871337	11.509987088656452	12.918910630816688
KLF4	3.7510187823128835	6.579388051670934	9.152547596785517	7.642378185357091	5.8149725576341265	10.71668993013155	9.345223151809249	11.500336997306517	8.63175212703171
KLF6	8.997080211069084	10.501746939017536	14.942980575225423	13.978563715688646	8.646276011430343	11.720750780231372	13.25880214547047	13.608909015777938	14.30193725271366
KLRB1	4.588036791917615	7.836773036846981	13.478583330951949	12.874943359257054	5.525576714891594	7.087697578338276	8.42569007857265	9.113223327544572	15.175091813745851
KLRC1	1.2087479102625203	4.285273406339215	7.754387949318485	10.553073418091309	1.2241245730705592	1.5305835870966307	5.1431595904084295	4.6259402400956775	12.653543749170419
KLRD1	4.253632555861607	7.197929852093974	10.258159077611053	13.486750945682736	4.45660017601445	7.687074129535423	8.637945278054438	8.452292150912132	15.36971115985035
KLRF1	3.0689811028889533	6.013950817437768	7.612496407188247	10.828155450192366	1.63353095165753	5.837948462823424	7.242597171072162	6.657534399952591	14.19103090645453
KLRG1	4.203193245752082	5.693090196658463	9.939971377196134	12.029292058953112	4.4322522466297505	5.071246532106579	9.678827220263491	6.505003259552676	12.730359425834576
KMT2E	6.814573109586054	9.912084929254496	12.475320420661495	12.041927407747016	6.140421413676745	10.376633228409084	11.191923708603428	10.995159423612261	12.953877231531182
KRT1	0.0	2.9965384860828053	6.979459996803385	6.408201155770647	0.0	0.0	10.262847129796514	3.5974029289651477	5.359712844693672
KRT10	7.334978748239812	11.45685146883546	11.415460066728208	11.48387798710927	7.596395893964012	11.798957545456677	11.072952824193683	10.789076311520219	12.281856905377865
KRT18	10.707976459656964	12.458682411297898	7.579949829767299	7.305491792110685	9.202868150607323	6.638713420553455	6.685773814167148	6.620012150466535	7.919899697612249
KRT19	10.446592667841097	11.420518982307591	6.648875615163762	6.09613342690279	9.8022279588436	6.5406035748027	8.92623134636063	6.33830495782656	7.262439171353874
KRT7	11.080453544222	10.815457830463233	5.782482087029042	6.47522071303888	7.651935555574386	6.035754977899417	4.2460472923640875	7.59461550254205	7.108977266501544
KRT8	10.093105882182492	12.109809307456686	6.824220757247994	6.997786132272267	9.844383393140149	7.177873454546784	5.856835090048431	6.636202479868298	7.137777794170754
KRTCAP2	7.48726340319621	11.3198591060384	11.350034175514882	11.204486780801417	7.382739178221627	11.846120700129289	10.40519210552474	10.929129152168068	12.03497017790105
KTN1	8.042800919976054	11.003451151660462	11.255061626282195	11.102937781252091	9.29287458293079	11.021442457492233	10.651407117402906	10.95098273749381	11.79909916816287
KYNU	2.13680810831735	4.210066341789642	4.745792087475738	4.79745542295648	2.3261621296113497	5.68087482790356	4.406961905973463	11.485653438085063	6.619576610452025
LAMA4	0.6505170743402848	4.520739040888909	5.0240318562323525	4.556502069532712	0.0	10.943260071632666	4.524786911219303	6.0179239117389836	5.098971529616647
LAMP1	8.050701284025507	10.758524300083536	11.064835977889087	11.18901590428995	6.714846790085235	11.510052681555619	9.810181909854531	11.346672177145905	12.606735773159139
LAMP3	7.371331202008808	12.795846154635168	7.253944275825439	6.894241176262025	6.255858435626828	6.030127693658818	6.207941057772512	6.210378148622972	7.8708082492972
LAMTOR1	7.418676303182803	11.338826116528779	10.788494938249329	10.774180456693188	6.65140392415983	11.238506667861495	9.71760541742062	11.490520492828693	11.971587308331088
LAMTOR2	7.767978428237849	10.87657987125301	10.480690349817127	10.042401661033482	7.947220095924005	10.58123448297669	9.636413765042624	11.646894819843709	11.398518720838245
LAMTOR4	7.870296159113089	11.56686508820056	11.73666401966062	11.607445586026916	8.836615641849528	11.409535304498704	11.427268472984242	13.013191100897094	12.788536332856975
LAMTOR5	8.494011636035596	12.180433215451993	11.445355815626973	11.151056063373279	9.013751439812777	11.696242085434791	10.605238369674607	11.773260552879158	12.402062611833266
LAPTM4A	8.217396597222448	11.791664894902103	10.667527077772053	10.521480406428735	9.03739183188399	13.497027738948441	12.798857534770617	11.63707380693198	11.873752459471685
LAPTM5	5.331659361338985	8.087758881599527	13.60815916285738	13.17684415173167	5.220712791009598	8.800153904910566	12.633526207417594	13.835374229305339	14.085085342725538
LAT	2.966538019387339	6.246611403226661	11.752621786465742	11.86323782606068	2.9996213330298267	6.008675567914741	10.587247962257832	7.802126251585612	12.272892466847278
LAT2	1.3857401411815675	4.970836402622529	7.37233610553457	8.456011659878321	0.8346735685362873	4.927811425109413	10.09215351365542	10.300874627646289	12.153384731448384
LAX1	2.7072980323069546	4.431364214092533	10.055377346526578	10.021841965841347	0.0	2.0292176180834303	11.086416906094547	6.250711883851741	11.141177432440987
