,B,CD4T,CD8T,Mon,NK,Neu
GNG11,4.635760266448585,4.062370269228609,3.747444184953591,3.3713296961481936,7.343700463523698,4.02317745478181
GNG8,2.4376509191510416,2.788711430711655,2.3722983182418833,5.624375659690986,2.863624210499923,8.399383809115374
GNGT2,10.169024171342963,9.589474052289653,9.63996326862471,12.74073834588405,9.8294470789479,10.880127315002747
GNRH1,2.579040000626882,3.3195791427371413,2.96061334797106,4.975670437218511,2.650384980680336,3.2952925642151567
GPAT3,4.64108570076236,3.9527823695104933,4.005791894040453,5.657147109703935,4.013643207054001,8.45472796029581
GPC2,2.2673722974110717,2.301643199837078,2.063022853672714,0.5450652469831507,4.153216575704779,2.138119543872028
GPR161,0.0,0.0,0.0,0.0,2.5893061698479696,0.0
GPR25,5.726764169957903,5.531434558580227,6.343698690494474,4.514772287240328,8.165522703162411,5.684835962838165
GPR27,0.0,0.0,0.0,2.9190883015660574,1.3636533304937248,5.680130264933262
GPR88,2.8887415841999156,2.103752688534012,2.375169175599738,5.293819665570222,2.768867437098321,2.9947074814467234
GPRC5B,1.0722931068380177,0.6803749170623248,0.7687884457194154,0.45607239029494007,3.1137148864480833,0.2439943155677371
GRIFIN,0.0,0.0,0.0,0.0,2.2419709341980996,0.0
GSTA6,8.922780898644378,7.406541667681872,7.211963850825327,5.6903208606331,7.321028410260879,5.872651755381932
GTSF1,0.0,0.0,0.0,3.704329703593305,0.5395816727546361,1.7486154588542466
GZMA,7.777968435945954,7.4836694250842175,7.419314965369312,7.780981301723434,11.627192222904064,7.9029034478707345
GZMB,5.361078425818521,4.686017290552954,4.859327852115506,5.291167411411757,8.661791983504049,5.388233824246695
GZMBL1,0.0,0.0,0.0,0.0,1.8735689078783795,0.0
GZMF,2.2772492841096206,0.0,2.4943207902961584,0.0,4.298514568100819,0.0
GZMK,9.806866939392833,9.28212840171961,9.288637403888682,8.7697493213954,13.418234223540942,9.16122067770834
GZMM,11.56118737286264,10.91693941063036,12.031797097465397,9.859230825985794,14.340721944793074,10.027372241033863
HAAO,3.9831969553229936,4.024341888383029,4.242932129196317,2.7243434265814317,6.1351590122439905,2.6519321569381034
HBE1,9.639783678474679,9.087119933496652,7.716708591128491,7.400362991597633,13.308975247443403,7.93208815630306
HCAR2,7.486580962440797,5.807558063310956,6.017723266707556,10.330883098758896,6.82340123731949,13.345319561309235
HCN2,3.2245888817349337,3.023284839048353,3.415211852119728,3.489308398711711,5.432714411085497,2.1551550867118148
HDAC11,3.196521848676584,2.630169318901107,3.0901814113507444,1.4690828209055136,5.223957783930182,1.3110429116128712
HDC,3.112566275929182,1.9922819263283642,2.6806358778815005,4.41819785660519,3.0261561299686255,7.382770582625165
HEATR9,1.4451595502062249,1.5792679077306129,1.9403494932218428,1.8852916199574319,4.310228434514476,0.7383703263317037
HIGD1C,0.0,4.244136460194934,0.0,0.0,0.0,0.0
HIST1H2BL,3.4107354625324,1.523638266338278,0.0,0.0,1.4723891724207328,0.0
HK3,3.2376848475052245,3.005246670513939,2.8896043303926557,4.524257536942514,3.3325983030118405,6.94761711190039
HSD11B1,3.787575891460066,3.6568278715085025,3.3090944957218165,7.798283166819154,3.8285182530780864,5.548858693916554
HSPA1B,0.0,0.0,0.0,5.475358880200282,0.0,0.0
HTR1B,0.8606856812947759,0.8963152596420338,0.0,2.06405996984707,0.4492255906916033,4.2563936247140655
HTR2A,0.4455957036887691,0.307541927031456,0.27811367996954434,1.2979958625644032,0.9399229221804254,4.297728157393664
HTRA3,2.906264520897278,2.2227641571983563,2.4890963093969676,1.6974607264796138,6.149377270641598,2.384750270502874
ID1,6.259227215475186,5.519898814160403,5.724441453320573,8.883330228817515,6.2760783655593535,11.387227731817799
IDO2,1.0447871718385628,0.0,0.0,0.0,2.9099919013908053,0.0
IFIT1,3.980768561869672,3.5554749274772703,3.2168636165385127,6.767912413084833,4.3096851213287515,10.098439965617573
IFIT1BL,7.554242582481129,7.315497040294797,6.997828858596446,10.0756376748893,7.825909959477484,13.692600746641219
IFIT3,8.499045707686168,7.568323298647222,7.555501944099012,11.167148603354013,8.464737794774578,14.114876615235918
IFITM10,1.3109513766424294,0.0,0.6482342845029752,0.0,4.206676365848667,1.8132270136232667
IFITM3,3.816236576876067,4.051010756232668,3.0313452771467846,3.7877098833539535,4.571157334217149,7.032458383790958
IFITM6,7.6943723643702455,6.492277877990455,7.089802103912611,8.524117731035036,7.596790551200746,12.038890908854377
IGFBP4,3.6827439355711697,6.045021684869667,3.2871879072261225,3.356746381091133,3.924883913883625,3.7831965646138714
IGIP,3.539288410200227,0.0,7.244292025790356,0.0,0.0,0.0
